x,y,had_hit,hit_class,collider_id,current_collider_id,primitive_or_shape_id,hit_distance,hit_pos_x,hit_pos_y,hit_pos_z,normal_x,normal_y,normal_z,segment_count,step_count,domain_id,curvature_domain_id,path_length,accumulated_transport_length,boundary_event_count,portal_event_count,throat_event_count,max_steps_reached,budget_exhausted_without_hit,final_step_count,final_path_length,hit_found_after_budget_warning,first_accepted_had_hit,first_accepted_hit_distance,first_accepted_hit_pos_x,first_accepted_hit_pos_y,first_accepted_hit_pos_z,first_accepted_normal_x,first_accepted_normal_y,first_accepted_normal_z,first_accepted_collider_id,first_accepted_primitive_or_shape_id,first_accepted_segment_index,first_accepted_candidate_count
0,0,1,background,26206012821,26206012821,0,5.771506,-4.4,2.051573,-3.121102,1,0,0,700,700,0,0,5.771506,5.771506,0,,0,1,0,701,5.771506,1,1,5.771506,-4.4,2.051573,-3.121102,1,0,0,26206012821,0,191,0
1,0,1,background,26206012821,26206012821,0,6.065128,-4.4,2.292933,-3.488277,1,0,0,700,700,0,0,6.065128,6.065128,0,,0,1,0,701,6.065128,1,1,6.065128,-4.4,2.292933,-3.488277,1,0,0,26206012821,0,201,0
2,0,1,background,26206012821,26206012821,0,6.460839,-4.4,2.598659,-3.953387,1,0,0,700,700,0,0,6.460839,6.460839,0,,0,1,0,701,6.460839,1,1,6.460839,-4.4,2.598659,-3.953387,1,0,0,26206012821,0,214,0
3,0,1,background,26105349517,26105349517,0,6.762969,-4.244126,2.892236,-4.4,0,0,1,700,700,0,0,6.762969,6.762969,0,,0,1,0,701,6.762969,1,1,6.762969,-4.244126,2.892236,-4.4,0,0,1,26105349517,0,224,0
4,0,1,background,26105349517,26105349517,0,6.37352,-3.591182,2.892233,-4.4,0,0,1,700,700,0,0,6.37352,6.37352,0,,0,1,0,701,6.37352,1,1,6.37352,-3.591182,2.892233,-4.4,0,0,1,26105349517,0,211,0
5,0,1,background,26105349517,26105349517,0,6.029795,-2.938241,2.892236,-4.4,0,0,1,700,700,0,0,6.029795,6.029795,0,,0,1,0,701,6.029795,1,1,6.029795,-2.938241,2.892236,-4.4,0,0,1,26105349517,0,199,0
6,0,1,background,26105349517,26105349517,0,5.740018,-2.2853,2.892239,-4.4,0,0,1,700,700,0,0,5.740018,5.740018,0,,0,1,0,701,5.740018,1,1,5.740018,-2.2853,2.892239,-4.4,0,0,1,26105349517,0,190,0
7,0,1,background,26105349517,26105349517,0,5.512677,-1.632352,2.892226,-4.4,0,0,1,700,700,0,0,5.512677,5.512677,0,,0,1,0,701,5.512677,1,1,5.512677,-1.632352,2.892226,-4.4,0,0,1,26105349517,0,182,0
8,0,1,background,26105349517,26105349517,0,5.355782,-0.979416,2.89223,-4.4,0,0,1,700,700,0,0,5.355782,5.355782,0,,0,1,0,701,5.355782,1,1,5.355782,-0.979416,2.89223,-4.4,0,0,1,26105349517,0,177,0
9,0,1,background,26105349517,26105349517,0,5.275561,-0.32647,2.892233,-4.4,0,0,1,700,700,0,0,5.275561,5.275561,0,,0,1,0,701,5.275561,1,1,5.275561,-0.32647,2.892233,-4.4,0,0,1,26105349517,0,174,0
10,0,1,background,26105349517,26105349517,0,5.275561,0.32647,2.892233,-4.4,0,0,1,700,700,0,0,5.275561,5.275561,0,,0,1,0,701,5.275561,1,1,5.275561,0.32647,2.892233,-4.4,0,0,1,26105349517,0,174,0
11,0,1,background,26105349517,26105349517,0,5.355782,0.979416,2.89223,-4.4,0,0,1,700,700,0,0,5.355782,5.355782,0,,0,1,0,701,5.355782,1,1,5.355782,0.979416,2.89223,-4.4,0,0,1,26105349517,0,177,0
12,0,1,background,26105349517,26105349517,0,5.512677,1.632352,2.892226,-4.4,0,0,1,700,700,0,0,5.512677,5.512677,0,,0,1,0,701,5.512677,1,1,5.512677,1.632352,2.892226,-4.4,0,0,1,26105349517,0,182,0
13,0,1,background,26105349517,26105349517,0,5.740018,2.2853,2.892239,-4.4,0,0,1,700,700,0,0,5.740018,5.740018,0,,0,1,0,701,5.740018,1,1,5.740018,2.2853,2.892239,-4.4,0,0,1,26105349517,0,190,0
14,0,1,background,26105349517,26105349517,0,6.029795,2.938241,2.892236,-4.4,0,0,1,700,700,0,0,6.029795,6.029795,0,,0,1,0,701,6.029795,1,1,6.029795,2.938241,2.892236,-4.4,0,0,1,26105349517,0,199,0
15,0,1,background,26105349517,26105349517,0,6.37352,3.591182,2.892233,-4.4,0,0,1,700,700,0,0,6.37352,6.37352,0,,0,1,0,701,6.37352,1,1,6.37352,3.591182,2.892233,-4.4,0,0,1,26105349517,0,211,0
16,0,1,background,26105349517,26105349517,0,6.762969,4.244126,2.892236,-4.4,0,0,1,700,700,0,0,6.762969,6.762969,0,,0,1,0,701,6.762969,1,1,6.762969,4.244126,2.892236,-4.4,0,0,1,26105349517,0,224,0
17,0,1,background,26256344472,26256344472,0,6.460839,4.4,2.598659,-3.953387,-1,0,0,700,700,0,0,6.460839,6.460839,0,,0,1,0,701,6.460839,1,1,6.460839,4.4,2.598659,-3.953387,-1,0,0,26256344472,0,214,0
18,0,1,background,26256344472,26256344472,0,6.065128,4.4,2.292933,-3.488277,-1,0,0,700,700,0,0,6.065128,6.065128,0,,0,1,0,701,6.065128,1,1,6.065128,4.4,2.292933,-3.488277,-1,0,0,26256344472,0,201,0
19,0,1,background,26256344472,26256344472,0,5.771506,4.4,2.051573,-3.121102,-1,0,0,700,700,0,0,5.771506,5.771506,0,,0,1,0,701,5.771506,1,1,5.771506,4.4,2.051573,-3.121102,-1,0,0,26256344472,0,191,0
0,1,1,background,26206012821,26206012821,0,5.601755,-4.4,1.590183,-3.080734,1,0,0,700,700,0,0,5.601755,5.601755,0,,0,1,0,701,5.601755,1,1,5.601755,-4.4,1.590183,-3.080734,1,0,0,26206012821,0,185,0
1,1,1,background,26206012821,26206012821,0,5.862942,-4.4,1.777255,-3.443154,1,0,0,700,700,0,0,5.862942,5.862942,0,,0,1,0,701,5.862942,1,1,5.862942,-4.4,1.777255,-3.443154,1,0,0,26206012821,0,194,0
2,1,1,background,26206012821,26206012821,0,6.216506,-4.4,2.014235,-3.902254,1,0,0,700,700,0,0,6.216506,6.216506,0,,0,1,0,701,6.216506,1,1,6.216506,-4.4,2.014235,-3.902254,1,0,0,26206012821,0,206,0
3,1,1,background,26105349517,26105349517,0,6.557895,-4.29973,2.271148,-4.4,0,0,1,700,700,0,0,6.557895,6.557895,0,,0,1,0,701,6.557895,1,1,6.557895,-4.29973,2.271148,-4.4,0,0,1,26105349517,0,217,0
4,1,1,background,26105349517,26105349517,0,6.144507,-3.638233,2.271147,-4.4,0,0,1,700,700,0,0,6.144507,6.144507,0,,0,1,0,701,6.144507,1,1,6.144507,-3.638233,2.271147,-4.4,0,0,1,26105349517,0,203,0
5,1,1,background,26105349517,26105349517,0,5.777475,-2.976738,2.271148,-4.4,0,0,1,700,700,0,0,5.777475,5.777475,0,,0,1,0,701,5.777475,1,1,5.777475,-2.976738,2.271148,-4.4,0,0,1,26105349517,0,191,0
6,1,1,background,26105349517,26105349517,0,5.466131,-2.315242,2.27115,-4.4,0,0,1,700,700,0,0,5.466131,5.466131,0,,0,1,0,701,5.466131,1,1,5.466131,-2.315242,2.27115,-4.4,0,0,1,26105349517,0,181,0
7,1,1,background,26105349517,26105349517,0,5.220442,-1.653745,2.271151,-4.4,0,0,1,700,700,0,0,5.220442,5.220442,0,,0,1,0,701,5.220442,1,1,5.220442,-1.653745,2.271151,-4.4,0,0,1,26105349517,0,173,0
8,1,1,background,26105349517,26105349517,0,5.050022,-0.992249,2.271144,-4.4,0,0,1,700,700,0,0,5.050022,5.050022,0,,0,1,0,701,5.050022,1,1,5.050022,-0.992249,2.271144,-4.4,0,0,1,26105349517,0,167,0
9,1,1,background,26105349517,26105349517,0,4.96261,-0.330748,2.271148,-4.4,0,0,1,700,700,0,0,4.96261,4.96261,0,,0,1,0,701,4.96261,1,1,4.96261,-0.330748,2.271148,-4.4,0,0,1,26105349517,0,164,0
10,1,1,background,26105349517,26105349517,0,4.96261,0.330748,2.271148,-4.4,0,0,1,700,700,0,0,4.96261,4.96261,0,,0,1,0,701,4.96261,1,1,4.96261,0.330748,2.271148,-4.4,0,0,1,26105349517,0,164,0
11,1,1,background,26105349517,26105349517,0,5.050022,0.992249,2.271144,-4.4,0,0,1,700,700,0,0,5.050022,5.050022,0,,0,1,0,701,5.050022,1,1,5.050022,0.992249,2.271144,-4.4,0,0,1,26105349517,0,167,0
12,1,1,background,26105349517,26105349517,0,5.220442,1.653745,2.271151,-4.4,0,0,1,700,700,0,0,5.220442,5.220442,0,,0,1,0,701,5.220442,1,1,5.220442,1.653745,2.271151,-4.4,0,0,1,26105349517,0,173,0
13,1,1,background,26105349517,26105349517,0,5.466131,2.315242,2.27115,-4.4,0,0,1,700,700,0,0,5.466131,5.466131,0,,0,1,0,701,5.466131,1,1,5.466131,2.315242,2.27115,-4.4,0,0,1,26105349517,0,181,0
14,1,1,background,26105349517,26105349517,0,5.777475,2.976738,2.271148,-4.4,0,0,1,700,700,0,0,5.777475,5.777475,0,,0,1,0,701,5.777475,1,1,5.777475,2.976738,2.271148,-4.4,0,0,1,26105349517,0,191,0
15,1,1,background,26105349517,26105349517,0,6.144507,3.638233,2.271147,-4.4,0,0,1,700,700,0,0,6.144507,6.144507,0,,0,1,0,701,6.144507,1,1,6.144507,3.638233,2.271147,-4.4,0,0,1,26105349517,0,203,0
16,1,1,background,26105349517,26105349517,0,6.557895,4.29973,2.271148,-4.4,0,0,1,700,700,0,0,6.557895,6.557895,0,,0,1,0,701,6.557895,1,1,6.557895,4.29973,2.271148,-4.4,0,0,1,26105349517,0,217,0
17,1,1,background,26256344472,26256344472,0,6.216506,4.4,2.014235,-3.902254,-1,0,0,700,700,0,0,6.216506,6.216506,0,,0,1,0,701,6.216506,1,1,6.216506,4.4,2.014235,-3.902254,-1,0,0,26256344472,0,206,0
18,1,1,background,26256344472,26256344472,0,5.862942,4.4,1.777255,-3.443154,-1,0,0,700,700,0,0,5.862942,5.862942,0,,0,1,0,701,5.862942,1,1,5.862942,4.4,1.777255,-3.443154,-1,0,0,26256344472,0,194,0
19,1,1,background,26256344472,26256344472,0,5.601755,4.4,1.590183,-3.080734,-1,0,0,700,700,0,0,5.601755,5.601755,0,,0,1,0,701,5.601755,1,1,5.601755,4.4,1.590183,-3.080734,-1,0,0,26256344472,0,185,0
