x,y,had_hit,hit_class,collider_id,current_collider_id,primitive_or_shape_id,hit_distance,hit_pos_x,hit_pos_y,hit_pos_z,normal_x,normal_y,normal_z,segment_count,step_count,domain_id,curvature_domain_id,path_length,accumulated_transport_length,boundary_event_count,portal_event_count,throat_event_count,first_accepted_had_hit,first_accepted_hit_distance,first_accepted_hit_pos_x,first_accepted_hit_pos_y,first_accepted_hit_pos_z,first_accepted_normal_x,first_accepted_normal_y,first_accepted_normal_z,first_accepted_collider_id,first_accepted_primitive_or_shape_id,first_accepted_segment_index,first_accepted_candidate_count
0,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
1,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
2,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
3,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
4,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
5,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
6,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
7,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
8,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
9,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
10,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
11,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
12,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
13,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
14,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
15,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
16,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
17,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
18,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
19,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
20,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
21,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
22,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
23,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
24,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
25,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
26,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
27,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
28,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
29,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
30,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
31,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
32,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
33,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
34,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
35,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
36,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
37,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
38,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
39,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
40,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
41,0,0,miss,0,0,-1,-1,0,0,0,0,0,0,250,250,0,0,10.02359,10.02359,0,,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1
